county,start,stop,duration,start_pct,stop_pct,pct_increase,avg_slope,max_pct
Middlesex County,2021-03-17,2021-06-10,85,13.1,60,46.9,0.5517647058823529,85
Norfolk County,2021-03-10,2021-06-09,91,11.4,58.3,46.9,0.5153846153846153,84.3
Suffolk County,2021-03-19,2021-06-08,81,12.6,52.6,40,0.49382716049382713,77.7
Essex County,2021-02-27,2021-06-08,101,6.7,52.7,46,0.45544554455445546,78.4
Plymouth County,2021-03-04,2021-06-06,94,7.5,49.4,41.9,0.44574468085106383,74.9
Worcester County,2021-03-10,2021-06-13,95,8.6,50,41.4,0.4357894736842105,74.3
Franklin County,2021-02-24,2021-06-05,101,6.1,50,43.9,0.43465346534653465,73.5
Hampshire County,2021-02-24,2021-06-09,105,6,49.8,43.8,0.4171428571428571,71.7
Bristol County,2021-03-07,2021-06-11,96,7.1,45.2,38.1,0.39687500000000003,70
Hampden County,2021-02-20,2021-06-17,117,4.1,46.2,42.1,0.3598290598290598,69.8
Berkshire County,2021-01-17,2021-06-17,151,1.8,42.6,40.800000000000004,0.27019867549668874,63.5
